Text,Depressed
Im in my late 20s  I have two jobs right now  Im in school  and I feel   I   have a lot under my belt right now  I get stressed out   easily  I tend to worry and over-think  Im   worried about money and everything ,0
I feel   I hate myself physically and emotally sometimes  How can I start accepting myself and be more confident,0
I am a peaceful person  but I often find myself having thoughts about killing people  Eventhough I   the thoughts at the time  they make me cry  Why do I feel   this,0
I have no friends  no hobbies  and no interest in anything  I get annoyed with everything and everyone  I am always tired  i can sleep 8 hrs or 2 hrs and im still tired  I dont know what to do  Is this normal,1
I am bipolar and have been absolutely angry for over the last year at my daughter,0
I hate everything I see in the mirror  I dont   being in pictures and always scribble out my face  Its stressing me out  I dont trust my parents enough to tell them and I dont know what to do ,0
work was extremely busy yesterday  we were slammed with jobs  so it was pretty  ridden 1,0
Im 15 and my   is 14  Am I a pedophile because Im attracted to her and shes under 18,0
People have been calling me names  and I have had enough of it  I cannot stand it anymore Im done  I have told someone this  and that is why I am writing this  The thoughts are awful ,1
He was in love with someone years ago  and he still thinks about her time to time  He said  and I quote  That relatship is definitely over  I love you  but that girl will always be in my mind  It   didnt feel   he appreciated all the things Ive done to make him happy ,0
In this argument my friends are all against me so Im wondering if Im exaggerating my feelings  I feel   Im being attacked and that is making me blow things out of proport and taking the role of the victim  when in reality Im the one being unreasonable and I am simply annoying my reasonable friends  Or are they   being insensitive and not respecting me in our friendship,0
I have a   habit of thinking and worrying about what others may think of me  I   want to stop it and enjoy things ,0
I recently went through a divorce  My ex-husband called my sister saying   things about me  My sister never defended me  Now that I showed the truth  shes shutting me up and saying she doesnt care about the fight  Why didnt she convey that to him from the beginning,0
I often get the feeling that Im being watched    video cameras are hidden wherever I am  even at home  I feel   people can see all that I do and are reading my thoughts  Things I read or hear on the radio seem to be about (or meant for) me  and people are talking about me when they whisper ,0
Ive been having this ongoing problem for most of my life now  I am a young adult  and right now  driving and even being a passenger gives me terrible panic attacks and   I cant ride in the backseat or the front seat with the safety belt on  I have to lean the seat back a bit because the pressure on my back terrifies me  I miss so many opportunities to go places with friends and family because of my fears of having a panic attack  My family offers little to no support  They think its fake or all in my head  It makes me feel guilty and at times  to the point where Id rather never wake up anymore  I am not self-harming  I   feel meaningless  This constant fear has taken over my thoughts and my life  I was such a happy person  I want my life back  I want to travel with my friends and family again  but I dont know how  Ive almost given up hope on getting better and   accepting the fact that Ill live with this  forever ,1
Whenever I run into a situat that makes me upset or angry  I tend to start cursing and  ly offending the person I am confronting  I say mean things to let my anger out  Whenever people tell me stuff about my relatship (  starting rumors or saying negative things about me or my relatship) I lash out not   them but at my    I feel   I keep causing drama due to my personality  I want to be a better person and learn to let things not get to me and be happy and graceful  I   the ones I love with my words  I want to be better for myself and them ,0
I always see the worst end of things  My   and I arent talking  and I swear hes leaving me  I keep failing my road test  and I see my future crumble  I have no desire for friends  I pushed my best friend away after Christmas  and I have no desire to fix it or make new friends  My aunt died  and I cry all the time  even if I burn my lunch ,1
I have been  with ADHD and experienced manic  episodes  I have problems with anger management  Apparently  I also have an ODD  bipolar and split personality  How can I be truly happy,1
"Im an early 20 something year-old virgin  and my   is in his early 20s with kids  Hes cheated on me twice  once in the beginning and then four months ago  He wasnt use to   a virgin and broke up with me three times because he wasnt sure  We both work at the same job (where we met) and its with the girl that works with us  Ive been trying to get over it  but now my confidence and self-esteem are low  and sometimes I feel   hell do it again or that hes not ready to be with me  I think about it all over again when I see her  He says hes in love with me  and with the last time he cheated  it didnt feel right  and thats when he knew he had to stop because his feelings were for me  Hes contacted her and told her he will not communicate with her because hes in a relatship with me 

How do I gain confidence Should I let him go If I let him go  I dont want to be  about it being that we work together  I try to tell myself Im beautiful every day  and I think I am a pretty attractive female with a great personality  but I dont   the fact that she works there ",0
I have been feeling more and more down for over a month  I have started having trouble sleeping due to panic attacks  but they are almost never triggered by something that I know of ,1
"I know I need to deal with my   But I dont know how and I dont want to tell anyone  

How can I deal with  without telling anyone",1
I have anxieties about everyday stressors  i e  finances  work  relatships  kids  and maintaining a household ,0
A year ago  the love of my life left me and never looked back  Our son was two months old at the time and it broke my heart  I miss her so much and cant seem to get over being so heartbroken ,0
"Im transgender  I know I am  but Ive only told a few friends  I know I cant tell my family because of previous conversats weve had  They   wouldnt accept it 
My gender dysphoria is getting   difficult to deal with on my own  I need some strategies for dealing with it  What should I do",0
I find myself lying about small everyday things that there is   no need to lie about  How do I figure out what triggers me to do this And how do I help overcome this problem I would   to become more honest and open no matter the situat ,0
I have been married for 20 years  He and I both cheated  I hid my cheating for 14 years  Over that time  I let life stress me out  I became When I finally woke up  he felt I had pushed him out ,0
Ive have lived for sometime with  but things have gotten a lot better  but why is it so hard to get over  and social isolat,1
My ex-husband told my two adolescents that Santa doesnt exist on the day before Christmas  They are desperate to hold on to the magic of Christmas  but I dont know if its right for me to lie to them and tell them that Santa is real  I dont want to let them down and make them lose out on those memories  but I also dont want to lose their trust ,0
My daughter didnt see her biological father for the last three years  She doesnt want to see him because she remember     things from him such as domestic violence and child abuse  The visitat is with supervis  but she refuses to see him  Is it better to take my daughter to the therapist and try to see him after the therapy,0
I helped my parents prepare for a cruise they will be on in one week I felt helpful 1,0
Ive been married for 3 years and I have two kids  During my 3-years married  my husband cheated on me twice   The second time   got to me and at my lowest I   him back  We arent communicating as well as I would    What do I do,1
Is this something I should be worried about  Should I do something about it,0
Ive had posttraumatic stress disorder for years without my parents ever finding out  I want to overcome it  but its so vivid  its   its happening again  Im  and paranoid  I have   which I have been struggling with since a young age ,1
I feel   uncomfortable when I have peoples attent   It makes me not want to talk in public or answer quests in class  Can I get over this social ,0
My fiancee is always letting me know how I am a horrible/evil person  or I   dont care enough when its about her feeling or when she is having an off day ,0
Ive known him for about six years  Weve  d off and on  I hadnt seen him in close to three years but recently started seeing him again  I   want this to last this time  I stayed the night  Do I text  call  or make contact first  the same day of the morning I left his house,0
What am I doing wrong My wife and I are fighting all the time  What can I do We dont agree on anything and she usually jumps to concluss  which are usually wrong on how I feel  She is very family-oriented while all of my family left me on my butt  abused  ignored and messed up with me mentally  Im not a family-oriented person  I only have two people in my life - my best friend and my wife     My mother forced my father out of my life so I do not know who he   is  Weve gotten in contact but he   makes comments on how much I look   her when in fact I look more   him  This makes me mad because I dont want to look   my mother  I hate her  All that she did was bring me down and make me homeless  which she was successful at  I need guidance in my life  I dont want to lose my wife but we need to have a space because we usually hit each other and its not healthy  Im dying to make our relatship healthy  Ive never wanted anything more than this  Please help me  I need your advice ,0
I am not sure if I am I dont know how to bring it up to my parents  and that makes me miserable ,0
She was  a type one diabetic two years ago and had a very tough time dealing with it   She has an attachment issue also her mother   moved to a much nicer home  and she gets angry and demands to go back to her prior home  We do not understand what is going on  and it is driving us crazy ,0
We went out had great  and I was   liking her  Then one day she says we should   be friends  but I cant stop thinking about her  Shes always on mind and I want her back ,0
I always feel the need to impress people  whether its my family  the people at school  or   random people  I know that no matter what I do or how I change  there will always be some people who hate me  Why do I feel this way,0
I have twin toddlers  I experienced a death of loved one prior to giving birth  I had a horrible break up with the father  People told him he was using me for money  My ex-  had extreme meltdowns every day for three years  Im always alone with no friends ,0
Whenever I read a positive life advice thingy  I immediately think of monty python singing always look on the bright side on crucifixes  Its   so dumb ,1
My wife is always accusing me of cheating and telling me that Im doing things she finds disrespecul even when I dont mean it   that  For example  she gets offended when I call someone at work sweetheart  I wish I had a penny for every time she accused me of cheating on her  She doesnt  and never will say she was wrong  How do I get her to understand,0
Both of my parents committed  together  and I was the one who found them  I suffer from overwhelming   which is having an extreme effect on me and my husbands  lives  He does not understand at all and is always making me feel so uncomfortable about  ,1
"I have a mother who is still running my life even though Im almost 30 years old  I want to move out and live my own life  but it     as long as I do what my mom wants our relatship is okay  Its never okay if I dont do what she wants  

I dont know how to start making my own deciss and not worry about  whether its right in her eyes   Would it help for me to talk to someone about this",0
